"","Gene.names","LOG2.H0_1","LOG2.H0_2","LOG2.H0_3","LOG2.Hc_1","LOG2.Hc_2","LOG2.Hc_3","logFC","p.val"
"15","TIMM13",-3.41914547526554,-3.68771140053193,-3.7800106054212,1.00911576915325,1.38501012528154,1.54134444043303,4.94077927202883,4.28512345119354e-07
"16","ATP5O",2.51672100717045,3.30296916018947,2.91650877147187,9.42904437535827,8.7534463250232,9.25209494291712,6.2327955681556,5.33976008903586e-07
"17","NDUFB11",-3.24856390297348,-3.14993055638937,-3.10081052449436,4.43874397836166,3.49202698414563,4.83820350092684,7.42275981576378,6.4943307197037e-07
"18","FAM162A",-1.30236688554204,-0.917858112390398,-1.41705242952378,2.90411925592639,3.16518719684242,3.14562716883757,4.28407034968753,7.75461437630416e-07
"19","ETFDH",-4.4969310868755,-5.47669192675635,-4.91050181846878,1.70661913320943,2.79779868405682,2.70956032355308,7.36603432430665,1.20478255894362e-06
"20","TMxxx",-4.8294541445163,-2.63208752698517,-4.08774124236213,5.34830083364883,5.47481519027758,5.62831825995582,9.33357239924861,2.00281679505069e-06
"21","TIMM8A",-3.19034823045946,-4.59480836309165,-4.01955339061209,2.26178263273364,1.98139296026109,2.15710176380188,6.06832911365327,2.61894567819564e-06
"22","POLG",-3.43225026379229,-4.37354793080957,-3.87716104644576,0.48145088444258,0.887626786174994,1.04892308606982,4.70031999924501,3.68921152529952e-06
"23","GANAB",0.0786853048652247,0.355635353167536,0.182821207653287,3.10665276398791,3.06467291147485,3.40417446851185,2.98611942609619,3.99886218104098e-06
"24","PRKCSH",-0.775683371475203,-0.616775427220375,-0.981867520057833,1.90963536500304,2.0313307231478,2.03921123427548,2.78483454705991,4.67857065695662e-06
"25","ATP5G1",-0.178826407698086,-0.306957033822293,-0.757031071103146,4.24823853602296,5.49879231290599,5.12286500428348,5.37090345527865,5.10834679295239e-06
"26","TIMM21",-4.42345042449753,-4.1390155081488,-4.00371166709926,-0.66966263704861,-0.225708993137879,0.150100362347704,3.94030211063561,5.15682509867434e-06
"27","USMG5",-0.328052416472563,1.48704514973445,0.290573210256305,7.22214781171888,6.76996082213097,7.11785210778414,6.55346493270526,6.8486649005371e-06
"28","AFG3L2",-2.90183458707551,-1.92215806541294,-1.88268217276467,2.66931505711033,2.92503533384198,3.57073261885576,5.2905859450204,6.89218851342621e-06
"29","ATP5J2",-0.608851101782193,-0.0868779681612359,-0.251531315039522,4.68529661086387,6.12635109560706,6.27432229314655,6.01107679486681,9.44317602213956e-06
"30","C14orf2",-3.93279102878183,-4.39677971169584,-4.75113791917515,3.90816788213807,3.60025808759332,6.10550755453264,8.89821406130562,9.99742135374065e-06
"31","DNAJC19",-3.76572114125408,-4.1546586418297,-4.70245165515048,0.24105110350143,0.786183483384075,-0.131826460179433,4.50607985498011,1.03334391753734e-05
"32","THRAP3",6.69799697880722,6.47315182518521,6.55386281487676,4.16395824374418,3.67763899644114,3.85923600978911,-2.67472612296492,1.05811298985356e-05
"33","COX14",-3.87699964397046,-4.29610092314903,-3.85855007627528,-1.50284646699515,-1.42183552393847,-1.35333850305845,2.58454338313424,1.17581305533298e-05
"34","ERH",5.40310835055422,4.91302978218545,5.18661183695362,2.59247690011763,2.18946004106308,2.11776588721219,-2.86768238043346,1.4039112621703e-05
"35","ATP5B",-5.39671232059746,-4.1899443002881,-4.18907844509446,-0.105429237656192,-0.17155948409107,0.0637855325960999,4.52084395894295,1.4127731023032e-05
"36","COA3",-2.01801065074533,-1.55026533445125,-2.04201350166354,0.627871482255141,1.0163791852263,0.810103375367721,2.6882145099031,1.80240774643951e-05
"37","ATP5EP2",-2.92950303998229,-0.862470240577341,-1.00647761884322,5.22822223622839,4.87875960057442,5.35879478050629,6.75474250557065,1.81050715364387e-05
"38","GHITM",-2.80241571202214,-2.45610888381561,-2.75973121123647,0.44348684786538,1.32708365144315,1.4902159086329,3.75968073833855,1.90116092957253e-05
"39","GEMIN7",0.0501843261077006,0.86550517698042,0.954736357339929,-3.73082957586501,-5.29991075710213,-4.17656441979764,-5.02591020439761,3.28067089940106e-05
"40","TMEM126A",-4.28243298499634,-4.26330078882553,-5.28304428121483,-0.92629814741446,-0.0762428653089913,0.328354507893742,4.384863850069,4.57395804297806e-05
"41","ABCB7",-4.76322801151338,-3.84986244935306,-4.3048159194432,-0.427121069872474,0.859308008177287,-0.379814925739595,4.32342613095829,4.80959754466619e-05
"42","SMN1",0.101727393263836,1.95816584263084,1.77392860205842,-3.6890195466477,-4.58944873611781,-4.16964618901709,-5.42731210324523,4.90962203608773e-05
"43","GEMIN8",-1.15766041763489,-0.0404042889708123,-0.732642479990513,-4.21076898875045,-3.67461342049812,-4.032611969974,-3.32909573087545,4.93565862891383e-05
"44","COX4I1",1.61167062251717,2.13813528839334,1.602770416587,4.29780778677866,5.02619118015416,4.39347287297739,2.78829850413756,5.45971503229378e-05
"45","ABCD3",-4.19517232777206,-4.48235203868566,-3.65800705574573,-1.44316713730248,-1.19095577592558,-1.63475684519076,2.6888838879282,5.47538525625435e-05
"46","BCLAF1",6.69193675381232,6.50563259987979,6.48774369461997,4.81823260083146,4.34710070080142,4.4365585798814,-2.02780705559926,5.62112626370802e-05
"47","C2orf47",-4.10578546793715,-3.18570684853674,-4.72776612903116,-0.0858863541996762,-0.0391849559270057,-0.325472428711674,3.85623823555557,6.18632000739142e-05
"48","TIMM44",-5.20223104514436,-5.52364015559818,-4.19480403165685,-1.41945283872669,-0.5759134484118,-1.16486261434691,3.92014877697133,6.59696437040599e-05
